Date,Open,High,Low,Close,Volume
8/8/07,14.25,14.9,14.9,14.9,1000
16/8/07,14.9,14.05,14,14.05,500
20/8/07,14.05,13.8,13.8,13.8,500
21/8/07,13.8,13.8,13.5,13.8,1000
22/8/07,13.8,13.25,13.1,13.25,7500
23/8/07,13.25,13.35,13.35,13.35,1500
27/8/07,13.35,12.5,12.35,12.5,1000
30/8/07,12.5,12.55,12.55,12.55,0
4/9/07,12.55,13.55,13.5,13.55,1000
11/9/07,13.55,13.5,13.5,13.5,5000
17/9/07,13.5,13.05,13,13,3000
19/9/07,13,13.95,13,13.95,3500
20/9/07,13.95,14.95,14.5,14.5,7000
26/9/07,14.5,15.5,15,15.5,2500
27/9/07,15.5,15.5,15.5,15.5,2500
1/10/07,15.5,15.5,15.5,15.5,1000
3/10/07,15.5,15.5,15.5,15.5,2000
5/10/07,15.5,15.5,15.5,15.5,1000
8/10/07,15.5,16,16,16,1000
17/10/07,16,16,15,15,1500
18/10/07,15,15,15,15,500
19/10/07,15,15.95,15.95,15.95,2500
22/10/07,15.95,16.45,15.05,15.05,11000
23/10/07,15.05,15.1,15.1,15.1,1500
25/10/07,15.1,16.1,16.1,16.1,1000
26/10/07,16.1,16.2,16.2,16.2,1000
29/10/07,16.2,17.05,16.4,17.05,10000
30/10/07,17.05,17.05,17,17.05,10500
31/10/07,17.05,17,17,17,1000
1/11/07,17,17.1,17.1,17.1,500
2/11/07,17.1,18,18,18,1000
5/11/07,18,19,17.5,17.5,6500
6/11/07,17.5,17.1,17.1,17.1,500
7/11/07,17.1,16.15,16.1,16.1,11500
8/11/07,16.1,16.5,16.4,16.4,1000
12/11/07,16.4,15.55,15.4,15.4,15000
14/11/07,15.4,15.25,15.25,15.25,5000
19/11/07,15.25,14.75,14.75,14.75,3000
20/11/07,14.75,15.75,15.6,15.75,6500
21/11/07,15.75,16.75,15.3,15.3,6500
28/11/07,15.3,15.35,14.7,14.7,5000
29/11/07,14.7,15.65,14.1,15.65,16500
30/11/07,15.65,16.65,16.35,16.6,16500
3/12/07,16.6,16.7,16,16.7,5000
5/12/07,16.7,16,16,16,0
6/12/07,16,15.15,15,15,3000
10/12/07,15,15,15,15,2000
11/12/07,15,14.5,14.5,14.5,500
13/12/07,14.5,14.55,14.55,14.55,0
14/12/07,14.55,14.5,14.5,14.5,500
18/12/07,14.5,15.5,15.5,15.5,500
19/12/07,15.5,15.2,15,15,2500
1/1/08,15,15,15,15,500
2/1/08,15,16,15,15,23000
16/1/08,15,14.25,14.05,14.05,1000
21/1/08,14.05,13.2,13.05,13.2,1000
23/1/08,13.2,13.2,13.2,13.2,500
30/1/08,13.2,12.2,12.2,12.2,9500
6/2/08,12.2,13.2,12.45,13.2,1500
27/2/08,13.2,12.25,12.2,12.25,1000
28/2/08,12.25,12.25,12.25,12.25,1000
3/3/08,12.25,12.25,12.05,12.05,3500
10/3/08,12.05,11.5,11.5,11.5,1000
14/3/08,11.5,10.75,10.5,10.75,4500
17/3/08,10.75,10.75,10.75,10.75,3000
24/3/08,10.75,11.75,11.75,11.75,500
